Dataset_id	MZML_file_name	Species	Project_id
MSV000093727	Alz_DiffSol_Comp_Mouse3_RH_Urea_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse2_RH_Urea_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Control_Mouse3_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Control_Mouse1_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse3_RH_Urea_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Control_Mouse2_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse3_LH_Urea_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse2_RH_Urea_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse3_RH_HFIP_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse1_RH_Urea_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse2_LH_Urea_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse3_RH_Urea_R2_Aragorn_28Dec21_21-11-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse2_RH_Urea_R2_Aragorn_28Dec21_21-11-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse3_LH_Urea_R2_Aragorn_28Dec21_21-11-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse1_RH_Urea_R2_Aragorn_28Dec21_21-11-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse1_LH_Urea_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Control_Mouse1_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse2_LH_Urea_R2_Aragorn_28Dec21_21-11-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse1_LH_Urea_R2_Aragorn_28Dec21_21-11-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse1_LH_HFIP_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse2_LH_HFIP_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse2_RH_HFIP_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Control_Mouse2_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Comp_Mouse1_RH_HFIP_R1_Aragorn_13Feb21_21-01-03.mzML	Mouse	6
MSV000093727	Alz_DiffSol_Control_Mouse3_R3_Aragorn_27May21_21-02-02.mzML	Mouse	6
